name,url,rating,number_of_ratings,price,asin
Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-35,4.0 out of 5 stars,6177,512,B09321GJXZ
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-36,4.0 out of 5 stars,3672,269,B07FWQ9HRV
Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-37,4.0 out of 5 stars,120,415,B0BL3TVDK6
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",https://www.amazon.in/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-38,4.3 out of 5 stars,5462,849,B07YDGQQN5
LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-39,4.0 out of 5 stars,30,439,B0BZW8KW18
Wildcraft Work Packs'18 21 Ltrs Black Laptop Backpack (Streak Plus),https://www.amazon.in/Wildcraft-Packs18-Laptop-Backpack-Streak/dp/B07FC4D9B5/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-40,4.4 out of 5 stars,1975,1374,B07FC4D9B5
"TABELITO Casual Laptop Backpack 15.6-inch, 25 LTR Water Repellent",https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-41,4.0 out of 5 stars,682,549,B08Y5S6C2P
ADISA 31 Ltrs Casual Backpack School College Bag Pack,https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-42,3.8 out of 5 stars,122,399,B0BX3QFVSM
Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMVV77/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-45,4.0 out of 5 stars,6077,843,B07XVMVV77
Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),https://www.amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1690028098&sr=8-46,4.5 out of 5 stars,4019,1439,B089QBD333
